属性A,属性B,n,R2(交互作用なし)
age,layout,23591,0.04832397498997043
age,area,23661,0.043441188670845676
age,rent,23661,0.0421067942358222
rent,layout,24506,0.03347219891313302
area,layout,24506,0.02281811394867861
rent,area,24577,0.005718813729070349
