変数,型,n,spearman,pearson,eta(相関比)
age,連続値,23661,0.30907141748633093,0.20160363855910318,
rent,連続値,24608,-0.2201154037041872,-0.07695279425578416,
area,連続値,24577,-0.10548366244554182,-0.0600731586038618,
walk,連続値,24608,-0.015237476241806876,-0.003094749304518974,
layout,カテゴリ,24423,,,0.12926968457915333
