age_band,layout,n,mean,median,std,q1,q3,iqr
85-90年,4DK,0,,,,,,
85-90年,4K,0,,,,,,
85-90年,4LDK,0,,,,,,
85-90年,4SDK,0,,,,,,
85-90年,4SLDK,0,,,,,,
85-90年,5DK,0,,,,,,
85-90年,5LDK,0,,,,,,
85-90年,5SDK,0,,,,,,
85-90年,5SLDK,0,,,,,,
85-90年,6DK,0,,,,,,
85-90年,6K,0,,,,,,
85-90年,6LDK,0,,,,,,
85-90年,6SDK,0,,,,,,
85-90年,6SLDK,0,,,,,,
90-95年,1DK,0,,,,,,
90-95年,1K,1,40.0,40.0,0.0,40.0,40.0,0.0
90-95年,1LDK,0,,,,,,
90-95年,1R,0,,,,,,
90-95年,1SDK,0,,,,,,
90-95年,1SK,0,,,,,,
90-95年,1SLDK,0,,,,,,
90-95年,2DK,0,,,,,,
90-95年,2K,0,,,,,,
90-95年,2LDK,0,,,,,,
90-95年,2SDK,0,,,,,,
90-95年,2SLDK,0,,,,,,
90-95年,3DK,0,,,,,,
90-95年,3K,0,,,,,,
90-95年,3LDK,0,,,,,,
90-95年,3SDK,0,,,,,,
90-95年,3SLDK,0,,,,,,
90-95年,4DK,0,,,,,,
90-95年,4K,0,,,,,,
90-95年,4LDK,0,,,,,,
90-95年,4SDK,0,,,,,,
90-95年,4SLDK,0,,,,,,
90-95年,5DK,0,,,,,,
90-95年,5LDK,0,,,,,,
90-95年,5SDK,0,,,,,,
90-95年,5SLDK,0,,,,,,
90-95年,6DK,0,,,,,,
90-95年,6K,0,,,,,,
90-95年,6LDK,0,,,,,,
90-95年,6SDK,0,,,,,,
90-95年,6SLDK,0,,,,,,
