rent_band,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
1820-1840k,0,,,,,,,,,,median,,no_valid_values
1840-1860k,0,,,,,,,,,,median,,no_valid_values
1860-1880k,0,,,,,,,,,,median,,no_valid_values
1880-1900k,0,,,,,,,,,,median,,no_valid_values
1900-1920k,0,,,,,,,,,,median,,no_valid_values
1920-1940k,0,,,,,,,,,,median,,no_valid_values
1940-1960k,0,,,,,,,,,,median,,no_valid_values
1960-1980k,0,,,,,,,,,,median,,no_valid_values
1980-2000k,0,,,,,,,,,,median,,no_valid_values
2000-2020k,0,,,,,,,,,,median,,no_valid_values
2020-2040k,0,,,,,,,,,,median,,no_valid_values
2040-2060k,0,,,,,,,,,,median,,no_valid_values
2060-2080k,0,,,,,,,,,,median,,no_valid_values
2080-2100k,0,,,,,,,,,,median,,no_valid_values
2100-2120k,1,151.0,151.0,151,1.0,1.0,151.0,151.0,151.0,151.0,median,151.0,
2120-2140k,0,,,,,,,,,,median,,no_valid_values
2140-2160k,0,,,,,,,,,,median,,no_valid_values
2160-2180k,0,,,,,,,,,,median,,no_valid_values
2180-2200k,0,,,,,,,,,,median,,no_valid_values
2200-2220k,0,,,,,,,,,,median,,no_valid_values
2220-2240k,0,,,,,,,,,,median,,no_valid_values
2240-2260k,0,,,,,,,,,,median,,no_valid_values
2260-2280k,0,,,,,,,,,,median,,no_valid_values
2280-2300k,0,,,,,,,,,,median,,no_valid_values
2300-2320k,0,,,,,,,,,,median,,no_valid_values
2320-2340k,0,,,,,,,,,,median,,no_valid_values
2340-2360k,0,,,,,,,,,,median,,no_valid_values
2360-2380k,0,,,,,,,,,,median,,no_valid_values
2380-2400k,0,,,,,,,,,,median,,no_valid_values
2400-2420k,0,,,,,,,,,,median,,no_valid_values
2420-2440k,0,,,,,,,,,,median,,no_valid_values
2440-2460k,0,,,,,,,,,,median,,no_valid_values
2460-2480k,0,,,,,,,,,,median,,no_valid_values
2480-2500k,0,,,,,,,,,,median,,no_valid_values
2500-2520k,0,,,,,,,,,,median,,no_valid_values
2520-2540k,0,,,,,,,,,,median,,no_valid_values
2540-2560k,0,,,,,,,,,,median,,no_valid_values
2560-2580k,0,,,,,,,,,,median,,no_valid_values
2580-2600k,0,,,,,,,,,,median,,no_valid_values
