layout,n
1K,9718
1R,3236
1LDK,2544
2LDK,2014
2DK,1492
1DK,973
3LDK,837
3DK,541
2K,258
4LDK,123
1SLDK,113
2SLDK,93
4DK,72
1SK,71
3K,39
3SLDK,36
3SDK,16
2SDK,13
5DK,10
5LDK,7
4SLDK,6
4SDK,5
1SDK,5
2LK,4
6SDK,2
5SLDK,2
6DK,2
6SLDK,2
5SDK,1
4K,1
6K,1
6LDK,1
