age_band,n
0-5y,2927
5-10y,2749
10-15y,2796
15-20y,2705
20-25y,1940
25-30y,2467
30-35y,3485
35-40y,1553
40-45y,491
45-50y,233
50-55y,97
55-60y,22
60-65y,3
65-70y,9
